TPP9	-37.190406	70.048729	-7.108898
Fp1	107.066328	30.129959	55.661049
F7	70.953797	68.63611	45.890963
T3	4.241339	83.125423	36.02577
PO7	-65.44296	60.599505	29.510939
O1	-91.9307	20.631233	35.418161
FFC5	47.381143	74.442797	77.690833
C3	2.898215	68.754339	110.788453
CPP3	-53.443342	55.212477	100.47835
Fz	73.457148	-0.562399	121.718603
Cz	2.280499	-1.507218	146.200833
Pz	-68.709946	-1.787986	111.938463
TPP10	-36.407199	-71.182218	-8.964115
Fp2	107.555038	-29.084235	54.954473
F8	72.113444	-67.915736	44.266284
T4	5.809422	-84.149614	34.291242
PO8	-65.059247	-62.87881	28.303025
O2	-92.659635	-23.153892	35.21124
FFC6	49.179637	-75.686705	76.574655
C4	4.203676	-71.126868	109.482712
CPP4	-52.234895	-58.055115	98.949393
